A,B,Addition,Subtraction,Multiplication,Division,Sin(Addition),Cos(Addition),Sqrt(Addition),2^Addition,Log(Addition),ODD_OR_EVEN(CEIL(A+B))
5.43,6.74,12.17,-1.31,36.60,0.81,-0.39,0.92,3.49,4608.24,1.09,Odd
-1.77,3.79,2.02,-5.56,-6.71,-0.47,0.90,-0.43,1.42,4.06,0.31,Odd
-1.98,-7.87,-9.85,5.89,15.58,0.25,0.41,-0.91,-1.00,0.00,-1.00,Odd
9.51,4.08,13.59,5.43,38.80,2.33,0.85,0.52,3.69,12330.98,1.13,Even
-9.42,-2.1,-11.52,-7.32,19.78,4.49,0.87,0.50,-1.00,0.00,-1.00,Odd
0.25,-3.76,-3.51,4.01,-0.94,-0.07,0.36,-0.93,-1.00,0.09,-1.00,Odd
-9.4,7.27,-2.13,-16.67,-68.34,-1.29,-0.85,-0.53,-1.00,0.23,-1.00,Even
-6.75,2.69,-4.06,-9.44,-18.16,-2.51,0.79,-0.61,-1.00,0.06,-1.00,Even
-0.42,3.49,3.07,-3.91,-1.47,-0.12,0.07,-1.00,1.75,8.40,0.49,Even
-9.89,-0.81,-10.70,-9.08,8.01,12.21,0.96,-0.29,-1.00,0.00,-1.00,Even
3.44,-6.61,-3.17,10.05,-22.74,-0.52,0.03,-1.00,-1.00,0.11,-1.00,Odd
-4.69,1.89,-2.80,-6.58,-8.86,-2.48,-0.33,-0.94,-1.00,0.14,-1.00,Even
4.45,-6.11,-1.66,10.56,-27.19,-0.73,-1.00,-0.09,-1.00,0.32,-1.00,Odd
2.58,2.63,5.21,-0.05,6.79,0.98,-0.88,0.48,2.28,37.01,0.72,Even
-5.05,-7.76,-12.81,2.71,39.19,0.65,-0.24,0.97,-1.00,0.00,-1.00,Even
3.84,-0.28,3.56,4.12,-1.08,-13.71,-0.41,-0.91,1.89,11.79,0.55,Even
6.82,-3.26,3.56,10.08,-22.23,-2.09,-0.41,-0.91,1.89,11.79,0.55,Even
3.39,4.61,8.00,-1.22,15.63,0.74,0.99,-0.15,2.83,256.00,0.90,Even
1.55,3.24,4.79,-1.69,5.02,0.48,-1.00,0.08,2.19,27.67,0.68,Odd
-2.43,-8.35,-10.78,5.92,20.29,0.29,0.98,-0.21,-1.00,0.00,-1.00,Even
9.42,-2.79,6.63,12.21,-26.28,-3.38,0.34,0.94,2.57,99.04,0.82,Odd
-3.61,-6.36,-9.97,2.75,22.96,0.57,0.52,-0.86,-1.00,0.00,-1.00,Odd
5.37,-3.35,2.02,8.72,-17.99,-1.60,0.90,-0.43,1.42,4.06,0.31,Odd
-8.17,0.95,-7.22,-9.12,-7.76,-8.60,-0.81,0.59,-1.00,0.01,-1.00,Odd
7.19,-6.63,0.56,13.82,-47.67,-1.08,0.53,0.85,0.75,1.47,-0.25,Odd
-8.45,7.05,-1.40,-15.50,-59.57,-1.20,-0.99,0.17,-1.00,0.38,-1.00,Odd
-7.21,-3.81,-11.02,-3.40,27.47,1.89,1.00,0.02,-1.00,0.00,-1.00,Odd
